Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
Colombia,COL,2021,24459997,4224612,13105349,3650615,5747599
Colombia,COL,2022,26656215,4306771,12580068,3400748,4794142
Colombia,COL,2023,28325255,4310893,12405096,3258004,4021904
Colombia (urban),,1980,4687727,1086160,4263279,1865840,4735479
Colombia (urban),,1988,7056130,1611386,5824069,2280645,4562142
Colombia (urban),,1989,6970528,1647465,6153484,2490383,4666316
Colombia (urban),,1991,7996463,1822755,6426758,2436977,4469027
Comoros,COM,2004,102733,32380,181548,102107,161936
Comoros,COM,2014,116990,48658,206164,116585,223106
Congo,COG,2005,276770,132149,737285,537395,2012794
Congo,COG,2011,580765,243626,1290978,739802,1842139
Costa Rica,CRI,1981,458310,156291,701223,317373,823440
Costa Rica,CRI,1986,556738,295413,1102321,320035,542709
Costa Rica,CRI,1989,1174093,289326,867711,274430,438267
Costa Rica,CRI,1990,1249879,273585,909748,255106,433388
Costa Rica,CRI,1991,1138418,276216,956247,282407,548888
Costa Rica,CRI,1992,1237965,305449,997455,290121,453268
Costa Rica,CRI,1993,1499732,322370,925506,222513,397313
Costa Rica,CRI,1994,1715370,294616,894587,222482,324067
Costa Rica,CRI,1995,1701590,350982,899893,208045,374666
Costa Rica,CRI,1996,1624581,332813,989656,246759,425204
Costa Rica,CRI,1997,1779897,339967,984590,261534,335723
Costa Rica,CRI,1998,2020326,352827,926399,200519,282767
Costa Rica,CRI,1999,1943818,322401,998725,238480,358677
Costa Rica,CRI,2000,1981393,327031,1007871,236461,384983
Costa Rica,CRI,2001,2377792,344321,786522,195497,304815
Costa Rica,CRI,2002,2458554,319377,834129,196034,267611
Costa Rica,CRI,2003,2566220,314420,787330,186346,284468
Costa Rica,CRI,2004,2505451,342601,908602,166550,276874
Costa Rica,CRI,2005,2662702,339288,867158,177221,214871
Costa Rica,CRI,2006,2684475,366743,876358,170771,222993
Costa Rica,CRI,2007,2972938,343432,774703,151592,137583
Costa Rica,CRI,2008,3011443,393653,749148,136005,149807
Costa Rica,CRI,2009,3137611,336529,727888,135373,162390
Costa Rica,CRI,2010,3339859,357682,652154,105627,100640
Costa Rica,CRI,2011,3362590,335663,672511,113504,125565
Costa Rica,CRI,2012,3493600,310100,639226,101481,119527
Costa Rica,CRI,2013,3555421,293157,643929,99035,124605
Costa Rica,CRI,2014,3571475,321556,649887,110403,113798
Costa Rica,CRI,2015,3653043,322131,614851,110446,117567
Costa Rica,CRI,2016,3717102,324290,609722,98935,116949
Costa Rica,CRI,2017,3826061,313137,598630,89423,85926
Costa Rica,CRI,2018,3858328,279296,606658,98479,115057
Costa Rica,CRI,2019,3823081,340052,646143,103793,86484
Costa Rica,CRI,2020,3476904,384637,849839,154201,168739
Costa Rica,CRI,2021,3811376,345483,693429,100423,109277
Costa Rica,CRI,2022,3864797,346940,667567,121216,81245
Costa Rica,CRI,2023,4007289,314711,611385,93538,78602
Costa Rica,CRI,2024,4200459,284800,509556,69242,65853
Cote d'Ivoire,CIV,1985,2953276,1000893,3510603,1197325,1410421
Cote d'Ivoire,CIV,1986,2468035,935765,4288218,1690432,1091312
Cote d'Ivoire,CIV,1987,2121377,731320,4193786,2112525,1764498
Cote d'Ivoire,CIV,1988,1364873,756643,4000154,2578213,2722018
Cote d'Ivoire,CIV,1992,1093282,634269,3895661,2530873,5351540
Cote d'Ivoire,CIV,1995,1293236,364362,4408590,2706380,6082997
Cote d'Ivoire,CIV,1998,1215576,528012,3799365,3774547,7346448
Cote d'Ivoire,CIV,2008,1588891,751798,5180920,3687136,10305695
Cote d'Ivoire,CIV,2015,1666162,810282,6208878,4564297,11996723
Cote d'Ivoire,CIV,2018,3837931,1837735,10418388,5405010,6329528
Cote d'Ivoire,CIV,2021,3928615,1840582,11837679,6285429,6313881
Croatia,HRV,1988,4617021,113887,24299,0,0
Croatia,HRV,2009,3882225,149616,200664,29307,43369
Croatia,HRV,2010,3785604,170167,240909,36961,61786
Croatia,HRV,2011,3715008,190671,287111,45334,42498
Croatia,HRV,2012,3618578,204766,337913,53442,45669
Croatia,HRV,2013,3636087,199791,310577,36381,51086
Croatia,HRV,2014,3672853,195502,256570,27844,48829
Croatia,HRV,2015,3675195,163489,258566,25566,28909
Croatia,HRV,2016,3728108,132533,190400,20623,35203
Croatia,HRV,2017,3702141,114613,176570,23166,24917
Croatia,HRV,2018,3759167,89877,108263,11367,20101
Croatia,HRV,2019,3755122,73104,96742,10041,14381
Croatia,HRV,2020,3733639,76176,73266,13749,17376
Croatia,HRV,2021,3751777,48102,63619,2263,13220
Croatia,HRV,2022,3722445,41339,70075,6447,15335
Croatia,HRV,2023,3756725,24455,56379,11985,10142
Cyprus,CYP,2004,1013518,1410,1430,560,957
Cyprus,CYP,2005,1033413,1235,942,0,561
Cyprus,CYP,2006,1053957,0,131,138,192
Cyprus,CYP,2007,1071403,292,749,0,270
Cyprus,CYP,2008,1090570,134,230,0,92
Cyprus,CYP,2009,1105455,1705,899,70,1242
Cyprus,CYP,2010,1122920,2183,1610,440,663
Cyprus,CYP,2011,1142068,663,3394,0,368
Cyprus,CYP,2012,1162081,1722,1352,193,49
Cyprus,CYP,2013,1178270,1950,1437,1089,1149
Cyprus,CYP,2014,1189972,7213,2709,729,1178
Cyprus,CYP,2015,1213254,3492,1651,553,552
Cyprus,CYP,2016,1232977,2461,497,234,943
Cyprus,CYP,2017,1251794,484,1354,0,643
Cyprus,CYP,2018,1265689,1761,2258,36,993
Cyprus,CYP,2019,1278762,1442,3603,616,2248
Cyprus,CYP,2020,1299292,398,1729,540,288
Cyprus,CYP,2021,1314995,1109,454,101,650
Cyprus,CYP,2022,1329975,910,418,0,67
Cyprus,CYP,2023,1341852,2232,651,64,177
Czechia,CZE,1992,10062418,154008,102697,0,0
Czechia,CZE,1993,10181518,148337,0,0,0
Czechia,CZE,1996,9929481,179550,180534,25676,0
Czechia,CZE,2002,9946002,125835,125079,0,0
Czechia,CZE,2004,9887412,113619,193160,1069,1841
Czechia,CZE,2005,9984952,116365,103998,2436,3465
Czechia,CZE,2006,10002499,135288,93364,0,7754
Czechia,CZE,2007,10120554,93061,64489,7543,13181
Czechia,CZE,2008,10208951,79493,83403,4016,8740
Czechia,CZE,2009,10254188,88357,95118,1441,4832
Czechia,CZE,2010,10282994,72831,105805,8991,3789
Czechia,CZE,2011,10278738,119451,86428,3945,7526
Czechia,CZE,2012,10327469,70388,84087,19941,8900
Czechia,CZE,2013,10365127,60118,83093,1130,4804
Czechia,CZE,2014,10323587,86981,107995,5697,1087
Czechia,CZE,2015,10385462,81896,76363,1414,924
Czechia,CZE,2016,10427143,50314,80442,8433,0
Czechia,CZE,2017,10512485,26844,42527,12582,0
Czechia,CZE,2018,10570565,18206,35969,4246,942
Czechia,CZE,2019,10596625,46132,29113,0,0
Czechia,CZE,2020,10625854,20725,49471,937,871
Czechia,CZE,2021,10443739,31443,21935,2367,6288
Czechia,CZE,2022,10568523,42757,49137,11701,0
Czechia,CZE,2023,10728999,43987,85889,5167,0
Democratic Republic of Congo,COD,2004,95346,61890,1134513,1701840,55586555
Democratic Republic of Congo,COD,2012,921149,674313,6890652,7183976,58598438
Democratic Republic of Congo,COD,2020,1275609,673512,5237821,6906625,81896433
Denmark,DNK,1987,5050318,12852,25501,0,38353
Denmark,DNK,1992,5093933,12873,25946,13074,25544
Denmark,DNK,1995,5220427,0,0,12946,0
Denmark,DNK,2000,5326269,0,13347,0,0
Denmark,DNK,2003,5358244,6988,5458,0,19884
Denmark,DNK,2004,5377266,5332,4027,875,17023
Denmark,DNK,2005,5388713,5271,10374,0,15074
Denmark,DNK,2006,5415138,3369,6994,1168,10603
Denmark,DNK,2007,5416199,13458,12895,14235,4651
Denmark,DNK,2008,5449169,2046,20351,5754,16301
Denmark,DNK,2009,5450473,9946,27487,3936,31253
Denmark,DNK,2010,5526678,2669,10653,4505,3178
Denmark,DNK,2011,5525770,9694,35108,0,0
Denmark,DNK,2012,5517954,24444,49174,0,0
Denmark,DNK,2013,5561781,9844,25849,0,17458
Denmark,DNK,2014,5579407,11790,38546,0,13732
Denmark,DNK,2015,5654010,1054,13888,4561,9970
Denmark,DNK,2016,5695328,1783,13722,1231,15946
Denmark,DNK,2017,5749399,1038,4681,1644,8218
Denmark,DNK,2018,5770654,7985,1873,0,13124
Denmark,DNK,2019,5785547,2156,7188,3878,15653
Denmark,DNK,2020,5796407,6207,14851,4318,9621
Denmark,DNK,2021,5837778,2376,7578,0,9001
Denmark,DNK,2022,5852494,3083,32005,1023,14432
Denmark,DNK,2023,5909064,394,16131,0,21363
Djibouti,DJI,2002,83106,41681,260381,153198,257208
Djibouti,DJI,2012,162173,55388,341621,152584,254981
Djibouti,DJI,2013,132553,47937,333391,163194,307749
Djibouti,DJI,2017,142815,59768,391019,193722,267517
Dominican Republic,DOM,1986,3654709,530296,1400522,412869,572812
Dominican Republic,DOM,1989,1980039,539527,2133109,881869,1467751
Dominican Republic,DOM,1992,2964840,684795,2303727,751003,743109
Dominican Republic,DOM,1996,3971639,777551,2072933,571451,639320
Dominican Republic,DOM,1997,4371009,671466,1957651,508302,665650
Dominican Republic,DOM,2000,4524797,642829,2191895,515372,709297
Dominican Republic,DOM,2001,4563995,740852,2220468,620826,574142
Dominican Republic,DOM,2002,4567235,830014,2071338,586586,797062
Dominican Republic,DOM,2003,3881381,810284,2578196,752065,958694
Dominican Republic,DOM,2004,3280719,760684,2792073,938927,1332489
Dominican Republic,DOM,2005,4080842,841782,2585971,807337,909102
Dominican Republic,DOM,2006,4523198,754767,2578476,726516,758226
Dominican Republic,DOM,2007,4490888,899831,2609212,715694,740033
Dominican Republic,DOM,2008,4393133,945512,2713403,837286,683796
Dominican Republic,DOM,2009,4767708,903656,2648093,762431,613377
Dominican Republic,DOM,2010,4922240,772078,2739066,842072,544719
Dominican Republic,DOM,2011,5070160,878408,2831662,634570,530821
Dominican Republic,DOM,2012,5064301,1022624,2769149,667463,546874
Dominican Republic,DOM,2013,5270609,919969,2820594,731512,451149
Dominican Republic,DOM,2014,5912489,949620,2550786,476735,425898
Dominican Republic,DOM,2015,6420262,941558,2292607,439438,340964
Dominican Republic,DOM,2016,6755683,906880,2180574,395618,312675
Dominican Republic,DOM,2017,7114579,1011135,2093456,285510,162163
Dominican Republic,DOM,2018,7500312,1024975,1932050,205981,118735
Dominican Republic,DOM,2019,7851388,995191,1727313,210232,109919
Dominican Republic,DOM,2020,7496814,1124121,1912311,331655,143399
Dominican Republic,DOM,2021,7565012,1129558,2022657,264819,141430
Dominican Republic,DOM,2022,7919736,1038793,1916971,247926,107308
Dominican Republic,DOM,2023,8519131,899591,1572571,195770,144202
Dominican Republic,DOM,2024,9132766,699203,1363138,143849,88601
East Asia and Pacific (WB),,1990,239778028,22852559,155780467,182047751,1217277131
East Asia and Pacific (WB),,1991,246777953,23578110,166633504,191749756,1215450629
East Asia and Pacific (WB),,1992,253970507,24881533,185646502,204276624,1200299394
East Asia and Pacific (WB),,1993,260919773,27356598,207514249,214139385,1183328619
East Asia and Pacific (WB),,1994,271276162,31311544,243905176,244947115,1125949187
East Asia and Pacific (WB),,1995,280146675,34042562,281338075,274492236,1071165732
East Asia and Pacific (WB),,1996,295008581,38738638,319933858,296385128,1014763875
East Asia and Pacific (WB),,1997,304522008,41609765,334959539,293050092,1013926180
East Asia and Pacific (WB),,1998,306998814,43708998,340561296,284237728,1034936684
East Asia and Pacific (WB),,1999,315265541,47604475,368782066,302114412,997146018
East Asia and Pacific (WB),,2000,331674918,53943646,399609185,306196665,958725218
East Asia and Pacific (WB),,2001,351155285,62571372,430321153,309434152,915200150
East Asia and Pacific (WB),,2002,378859559,73840752,471112035,322795446,839536592
East Asia and Pacific (WB),,2003,405924721,85039629,512467969,332469312,766860353
East Asia and Pacific (WB),,2004,436319806,96080703,541232091,344503696,700611608
East Asia and Pacific (WB),,2005,473339839,107622599,580385321,354241496,618983801
East Asia and Pacific (WB),,2006,508891441,116954084,586277177,339844999,598721323
East Asia and Pacific (WB),,2007,556544072,129013630,603713446,332284433,545491075
East Asia and Pacific (WB),,2008,593331492,136200357,614916902,326135378,512888255
East Asia and Pacific (WB),,2009,646224866,143824866,620726040,316412370,471960658
East Asia and Pacific (WB),,2010,719986520,153867276,624710382,298711606,417337976
East Asia and Pacific (WB),,2011,775830964,164317530,650458853,294208579,346010570
East Asia and Pacific (WB),,2012,850028928,169244108,651423606,275727227,302657475
East Asia and Pacific (WB),,2013,939667423,185886024,682552209,252735360,206230984
East Asia and Pacific (WB),,2014,1017490643,193554351,663482502,230679324,179178716
East Asia and Pacific (WB),,2015,1088686200,199780230,659382050,211924863,141070945
East Asia and Pacific (WB),,2016,1156614823,206263511,647410547,189126163,117660924
East Asia and Pacific (WB),,2017,1214502979,206023407,635806120,179200389,97942689
East Asia and Pacific (WB),,2018,1286868883,210104606,613993094,158747173,77862564
East Asia and Pacific (WB),,2019,1347438695,212299238,606103148,132882527,61047528
East Asia and Pacific (WB),,2020,1332562199,220606988,638086067,113556328,64627138
East Asia and Pacific (WB),,2021,1468563966,207955609,543263694,92918677,62442502
East Asia and Pacific (WB),,2022,1466278762,204627328,554798462,96253397,57690307
East Asia and Pacific (WB),,2023,1527448708,195670032,522077384,86773036,52510072
East Asia and Pacific (WB),,2024,1565740880,191809924,499339700,83817315,47670549
East Asia and Pacific (WB),,2025,1598608452,186817917,478015097,81345708,44906010
East Timor,TLS,2001,24190,15798,168556,151231,452474
East Timor,TLS,2007,8333,7129,166696,218532,604199
East Timor,TLS,2014,27018,20657,291599,323353,519276
Eastern and Southern Africa (WB),,1990,25307713,8102276,49734524,36561348,192042811
Eastern and Southern Africa (WB),,1991,25495201,8158251,49424154,35980907,201384463
Eastern and Southern Africa (WB),,1992,24994175,8202561,48860632,36391487,210633865
Eastern and Southern Africa (WB),,1993,23036105,7794641,50066206,37979379,219447669
Eastern and Southern Africa (WB),,1994,23261611,8055278,51956991,39128297,225039647
Eastern and Southern Africa (WB),,1995,24621009,8589105,53995909,40017827,229356534
Eastern and Southern Africa (WB),,1996,26005060,9176260,56237516,41894770,232824922
Eastern and Southern Africa (WB),,1997,27202443,9611019,57287049,42989794,238555935
Eastern and Southern Africa (WB),,1998,27259550,9715829,57665561,44185349,246679471
Eastern and Southern Africa (WB),,1999,27139032,9859796,59111886,47144306,252495924
Eastern and Southern Africa (WB),,2000,27711720,10167004,62045982,49960016,256271950
Eastern and Southern Africa (WB),,2001,29177169,10653022,65224214,52650998,259102469
Eastern and Southern Africa (WB),,2002,29647592,10800865,64366792,53272370,269732733
Eastern and Southern Africa (WB),,2003,30293875,10601460,67249110,57788565,273240270
Eastern and Southern Africa (WB),,2004,32626832,11245667,76961998,65083261,265010274
Eastern and Southern Africa (WB),,2005,34957268,11765203,84943094,68080415,263330660
Eastern and Southern Africa (WB),,2006,38466428,13077486,90886731,71279716,261895847
Eastern and Southern Africa (WB),,2007,40913397,14007615,95174773,74679343,263805576
Eastern and Southern Africa (WB),,2008,43708142,15026796,99758830,77584779,265992205
Eastern and Southern Africa (WB),,2009,44558572,15471384,103534267,80316287,272122946
Eastern and Southern Africa (WB),,2010,46924750,16234681,109399501,83837746,273911706
Eastern and Southern Africa (WB),,2011,49189950,17348790,115012719,86243053,276943472
Eastern and Southern Africa (WB),,2012,50136933,18214092,121058355,90688105,279512499
Eastern and Southern Africa (WB),,2013,51833539,19096881,127076296,93426429,283769543
Eastern and Southern Africa (WB),,2014,53648033,20175041,132246386,95289761,289609739
Eastern and Southern Africa (WB),,2015,55267264,20785589,136553715,96322953,298193743
Eastern and Southern Africa (WB),,2016,55733494,20975254,139469316,97082098,310109246
Eastern and Southern Africa (WB),,2017,55249632,20917676,140804703,99338380,323748361
Eastern and Southern Africa (WB),,2018,54798669,20771536,143092930,103041565,336096388
Eastern and Southern Africa (WB),,2019,54158720,20635374,144664617,107766034,348725463
Eastern and Southern Africa (WB),,2020,50722430,19734482,142312386,111124677,370552105
Eastern and Southern Africa (WB),,2021,51157507,19668679,144456968,116193735,381614055
Eastern and Southern Africa (WB),,2022,53124915,20268622,150322865,119427419,388677555
Eastern and Southern Africa (WB),,2023,52893214,20280742,153510954,124156960,399661874
Eastern and Southern Africa (WB),,2024,54575652,20921361,158797610,127742847,407257122
Eastern and Southern Africa (WB),,2025,57123585,22077268,166623793,131677864,411355986
Ecuador,ECU,1994,3064295,813067,3601589,1445359,2447887
Ecuador,ECU,1999,3130583,782624,3622897,1575878,3358813
Ecuador,ECU,2000,2292307,671999,3563879,1839994,4321027
Ecuador,ECU,2003,4510578,1010729,3860732,1468840,2521427
Ecuador,ECU,2004,4493890,983704,3922407,1563348,2645352
Ecuador,ECU,2005,5625763,1039263,3759088,1292703,2129346
Ecuador,ECU,2006,6249703,1237521,3865740,1203463,1529704
Ecuador,ECU,2007,6503933,1246776,3896940,1113584,1567540
Ecuador,ECU,2008,6941668,1309124,3742295,1155764,1426351
Ecuador,ECU,2009,6888111,1356742,4078926,1118542,1383633
Ecuador,ECU,2010,7703859,1380487,3822867,997348,1172134
Ecuador,ECU,2011,8561762,1269433,3671814,835584,987634
Ecuador,ECU,2012,9256141,1243672,3366118,767342,938921
Ecuador,ECU,2013,9335695,1326500,3612310,822845,709778
Ecuador,ECU,2014,9987429,1445955,3289624,675533,636583
Ecuador,ECU,2015,10004146,1411360,3354754,719937,776028
Ecuador,ECU,2016,10206591,1466221,3337424,674587,820316
Ecuador,ECU,2017,10652600,1362357,3337751,689588,717223
Ecuador,ECU,2018,10677773,1438263,3358908,774496,800108
Ecuador,ECU,2019,10642530,1385665,3663130,842745,805950
Ecuador,ECU,2020,9620634,1601592,3962815,880374,1480649
Ecuador,ECU,2021,10423159,1339045,4015037,972299,932914
Ecuador,ECU,2022,10909932,1404632,3866023,851051,792258
Ecuador,ECU,2023,10776459,1662956,3750639,948429,841601
Ecuador,ECU,2024,10764086,1455969,3716969,872159,1326295
Ecuador (urban),,1987,1593697,429606,1498745,526312,1112074
Ecuador (urban),,1995,1810048,510534,2237349,926676,1210769
Ecuador (urban),,1998,2029737,512590,2154402,1031778,1535343
Egypt,EGY,1990,9889725,5554158,29447123,10092231,4229571
Egypt,EGY,1995,9381801,5886878,36126829,12567969,2720715
Egypt,EGY,1999,17045711,9122936,37223026,9301031,0
Egypt,EGY,2004,14200705,7990501,43445237,11327042,3309499
Egypt,EGY,2008,15331322,8950765,48095075,10663539,3216931
Egypt,EGY,2010,21384480,11540875,48175274,7633679,1391284
Egypt,EGY,2012,23779107,13334258,50612569,5324912,1174706
Egypt,EGY,2015,28112210,14923422,49519854,5838011,1203847
Egypt,EGY,2017,22570409,12391495,55861415,11088202,3274063
Egypt,EGY,2019,26934355,14046291,56255361,8924700,2150093
Egypt,EGY,2021,30181882,16446076,57650053,6416274,1541883
El Salvador,SLV,1989,1491610,440186,1535485,519724,1311974
El Salvador,SLV,1991,1288666,334369,1594452,687646,1589944
El Salvador,SLV,1995,1615360,506243,1813112,714506,1112910
El Salvador,SLV,1996,1659907,411642,1799989,700424,1233324
El Salvador,SLV,1998,1768414,413642,1572773,576462,1549490
El Salvador,SLV,1999,1919301,443487,1623641,600792,1326679
El Salvador,SLV,2000,2130634,484385,1680658,551494,1096195
El Salvador,SLV,2001,2077351,475819,1649180,607132,1158578
El Salvador,SLV,2002,2123838,460600,1632415,600252,1169526
El Salvador,SLV,2003,2021156,472117,1711080,538057,1256189
El Salvador,SLV,2004,2096531,494310,1855782,578376,979672
El Salvador,SLV,2005,2075037,501308,1862236,580181,986816
El Salvador,SLV,2006,2078323,548658,1997784,619908,757646
El Salvador,SLV,2007,2226267,592293,2054933,583990,552341
El Salvador,SLV,2008,2132693,522633,1954911,657689,761371
El Salvador,SLV,2009,2042754,579618,2038266,640283,747358
El Salvador,SLV,2010,2165453,579793,1982762,650856,689385
El Salvador,SLV,2011,2084978,592558,2149899,647999,614693
El Salvador,SLV,2012,2190618,653827,2171437,575696,522397
El Salvador,SLV,2013,2445219,681242,2018338,555642,438398
El Salvador,SLV,2014,2477591,648457,2076655,531721,428531
El Salvador,SLV,2015,2608363,695125,2074930,477434,327824
El Salvador,SLV,2016,2753880,660584,1947589,480660,358087
El Salvador,SLV,2017,2859028,718531,1944315,408965,282694
El Salvador,SLV,2018,3120688,668049,1795118,382986,252966
El Salvador,SLV,2019,3388745,672537,1679402,295958,185676
El Salvador,SLV,2021,3531626,625544,1484828,292806,320978
El Salvador,SLV,2022,3573189,650440,1452581,277106,327003
El Salvador,SLV,2023,3786417,633816,1346630,250194,292567
Equatorial Guinea,GNQ,2022,581322,185191,670871,232036,160968
Estonia,EST,1993,753354,169883,434238,112373,24280
Estonia,EST,2003,967538,119178,200498,34812,48694
Estonia,EST,2004,1070310,93279,149393,27854,21714
Estonia,EST,2005,1149742,68875,106651,14834,14673
Estonia,EST,2006,1209272,52347,64340,6219,14632
Estonia,EST,2007,1254520,30899,41540,5726,7995
Estonia,EST,2008,1250022,32675,39496,7496,7401
Estonia,EST,2009,1230008,37421,49417,7546,10123
Estonia,EST,2010,1189816,46102,67350,14259,13948
Estonia,EST,2011,1202871,43643,57650,7929,15346
Estonia,EST,2012,1209700,43690,47272,8180,13854
Estonia,EST,2013,1208895,39792,44389,10740,14181
Estonia,EST,2014,1227329,21911,42509,9757,13039
Estonia,EST,2015,1254119,23649,24735,4216,8688
Estonia,EST,2016,1268837,15894,20676,2683,7700
Estonia,EST,2017,1281288,12181,15916,1162,6837
Estonia,EST,2018,1292805,12091,9854,1714,5513
Estonia,EST,2019,1297831,5917,10748,2846,9556
Estonia,EST,2020,1300079,7538,14994,1406,5505
Estonia,EST,2021,1312427,5152,7876,830,4647
Estonia,EST,2022,1307434,14062,18459,2164,6721
Estonia,EST,2023,1344856,7542,10020,3525,4343
Eswatini,SWZ,1994,14238,5076,40608,43909,866734
Eswatini,SWZ,2000,79572,21761,143830,122529,682600
Eswatini,SWZ,2009,96018,35445,202256,128734,644324
Eswatini,SWZ,2016,195493,42540,242310,158097,512544
Ethiopia,ETH,1995,1479511,568237,6089508,7229046,42653610
Ethiopia,ETH,1999,905157,627023,7840878,13274572,43745398
Ethiopia,ETH,2004,2062128,1235532,19929513,22080105,31915058
Ethiopia,ETH,2010,3843476,2385303,26477061,24780203,34358197
Ethiopia,ETH,2015,6867908,3793625,35594268,24291279,34745568
Ethiopia,ETH,2021,4470112,3495752,36310178,30672943,47189607
Ethiopia (rural),,1981,306680,179215,2437469,4366359,24656125
Europe and Central Asia (WB),,1990,625842000,42723639,113164242,29577589,33982770
Europe and Central Asia (WB),,1991,615092246,44058530,119481670,32124657,38412305
Europe and Central Asia (WB),,1992,595637931,45723755,128213310,36257408,46832108
Europe and Central Asia (WB),,1993,567003814,47872200,146478548,42164976,52034702
Europe and Central Asia (WB),,1994,553068630,44446071,147156644,48130859,64922404
Europe and Central Asia (WB),,1995,578454631,46999812,131845032,39731065,62474228
Europe and Central Asia (WB),,1996,562403700,46575557,143687074,44255753,64151324
Europe and Central Asia (WB),,1997,574189936,48874060,140522592,40175965,58572487
Europe and Central Asia (WB),,1998,576389475,46837891,138354170,41374526,60361570
Europe and Central Asia (WB),,1999,546445505,43238308,147539384,51675302,75408445
Europe and Central Asia (WB),,2000,561818135,45952717,147426967,44474794,65719835
Europe and Central Asia (WB),,2001,577091033,46429311,143241780,39905196,59923400
Europe and Central Asia (WB),,2002,591456381,47414367,139728439,36170367,53465262
Europe and Central Asia (WB),,2003,602347530,46455798,137179496,32815749,51730899
Europe and Central Asia (WB),,2004,627695020,47393941,125879529,27614278,44486672
Europe and Central Asia (WB),,2005,646550815,47929957,112973453,24130521,43979158
Europe and Central Asia (WB),,2006,669334539,45808074,103968334,20348081,38707884
Europe and Central Asia (WB),,2007,692657841,43680283,91593439,17229625,35495132
Europe and Central Asia (WB),,2008,719558802,40612320,76937231,14215902,32900449
Europe and Central Asia (WB),,2009,718816933,41666757,80361341,13779183,33116906
Europe and Central Asia (WB),,2010,729945826,39631528,74683045,13304789,33425212
Europe and Central Asia (WB),,2011,738578933,39312263,69754388,13026228,32337788
Europe and Central Asia (WB),,2012,745343713,37935064,67775847,12935712,32563840
Europe and Central Asia (WB),,2013,764023889,40147878,73393816,12534925,9884836
Europe and Central Asia (WB),,2014,767671082,40599923,71674598,12940409,10790404
Europe and Central Asia (WB),,2015,767704230,41705208,74954076,12492558,10820856
Europe and Central Asia (WB),,2016,775374448,41364406,74797872,11337279,8891627
Europe and Central Asia (WB),,2017,787558069,39663875,68596600,10520496,8951968
Europe and Central Asia (WB),,2018,798480695,38557001,64987488,9382631,7540089
Europe and Central Asia (WB),,2019,807914609,36114201,62060211,9138821,6990718
Europe and Central Asia (WB),,2020,814793606,34458632,57755644,9342095,7623847
Europe and Central Asia (WB),,2021,831454059,28784213,49913324,7611371,6940009
Europe and Central Asia (WB),,2022,834126815,28950910,48635976,6927853,6419694
Europe and Central Asia (WB),,2023,850151541,24262091,39788669,5706891,5731576
Europe and Central Asia (WB),,2024,858057891,22801144,37511089,5134115,4961489
Europe and Central Asia (WB),,2025,860552687,22674193,36301479,4795278,4725451
Fiji,FJI,2002,316942,93698,323420,81836,46272
Fiji,FJI,2008,357070,105990,337807,70163,34289
Fiji,FJI,2013,377887,110469,355921,58145,14226
Fiji,FJI,2019,246657,107205,422484,95992,42571
Finland,FIN,1987,4907672,12469,11982,0,0
Finland,FIN,1991,4988806,12568,12366,0,0
Finland,FIN,1995,5095521,0,12269,0,0
Finland,FIN,2000,5163429,0,12780,0,0
Finland,FIN,2003,5190889,9434,7929,2193,2569
Finland,FIN,2004,5214389,3104,6933,1361,2385
Finland,FIN,2005,5231180,2632,5981,2280,4023
Finland,FIN,2006,5246949,7036,5836,1611,4836
Finland,FIN,2007,5276434,4500,2426,1989,3371
Finland,FIN,2008,5294981,5559,6103,2462,4294
Finland,FIN,2009,5325997,4995,4137,941,2801
Finland,FIN,2010,5345550,6156,7881,59,3706
Finland,FIN,2011,5379272,1580,3921,623,2876
Finland,FIN,2012,5397509,5419,7479,709,2855
Finland,FIN,2013,5423010,4447,6544,310,4661
Finland,FIN,2014,5447885,4003,4952,929,3743
Finland,FIN,2015,5464944,2286,6110,2110,4081
Finland,FIN,2016,5479013,4566,7202,1926,2596
Finland,FIN,2017,5497183,2648,3679,504,4200
Finland,FIN,2018,5501300,2445,3915,3615,4250
Finland,FIN,2019,5510456,1741,3889,3251,2269
Finland,FIN,2020,5523517,1487,2422,453,1664
Finland,FIN,2021,5530269,2051,6143,1371,1183
Finland,FIN,2022,5537442,3766,8843,167,5888
Finland,FIN,2023,5556266,2825,11397,2531,10892
France,FRA,1970,47979602,1557546,2342141,127879,0
France,FRA,1975,51708157,809894,1080481,140264,264056
France,FRA,1979,53744508,415079,547182,136622,136461
France,FRA,1984,55115932,432201,553485,0,281466
France,FRA,1990,57832975,136874,146940,0,144223
France,FRA,1996,59010327,298555,297049,0,148573
France,FRA,1997,59369917,148660,301907,0,147580
France,FRA,1998,59739620,150222,150642,150200,0
France,FRA,1999,59898824,300884,151428,150848,0
France,FRA,2000,60462034,152040,152879,151707,0
France,FRA,2001,61057735,153811,0,152830,0
France,FRA,2002,61659759,0,152385,0,0
France,FRA,2003,61817133,139530,168247,17577,107369
France,FRA,2004,62452166,45297,138423,26697,45005
France,FRA,2005,62789257,175716,182461,0,33422
France,FRA,2006,63326196,159829,101645,16047,18627
France,FRA,2007,63895947,26258,63341,19650,11692
France,FRA,2008,64242165,50643,66828,9241,6239
